left_to_pin_before,penalty,hole_no,shot_no,completed,putt,left_to_pin_after,par,yards,mp_name,usa_player1,usa_player2,eur_player1,eur_player2,mp_start_time,player_shot_name,shot_team,lie_after,lie_before
360,FALSE,5,3,TRUE,FALSE,24,4,352,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Green,Intermediate Rough
6408,FALSE,1,2,TRUE,FALSE,1008,4,442,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Greenside Bunker,Fairway
144,FALSE,5,3,TRUE,TRUE,12,4,352,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Green,Green
36,FALSE,1,5,TRUE,TRUE,1,4,442,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Hole,Green
300,FALSE,1,4,TRUE,TRUE,36,4,442,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Green,Green
12,FALSE,3,5,TRUE,TRUE,1,5,633,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Hole,Green
10800,FALSE,3,2,TRUE,FALSE,3960,5,633,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Matt Kuchar,USA,Rough,Rough
3960,FALSE,3,3,TRUE,FALSE,192,5,633,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Dustin Johnson,USA,Green,Rough
7560,FALSE,4,1,TRUE,FALSE,324,3,210,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Greenside Bunker,Tee
324,FALSE,4,2,TRUE,FALSE,24,3,210,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Green,Greenside Bunker
5616,FALSE,2,2,TRUE,FALSE,420,4,429,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Green,Fairway
NA,TRUE,6,2,TRUE,FALSE,23112,5,642,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Tee,Out of Bounds
23112,FALSE,6,3,TRUE,FALSE,12312,5,642,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Rough,Tee
192,FALSE,3,4,TRUE,TRUE,12,5,633,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Matt Kuchar,USA,Green,Green
12,FALSE,3,5,TRUE,TRUE,1,5,633,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Dustin Johnson,USA,NA,Green
7560,FALSE,4,1,TRUE,FALSE,756,3,210,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Green,Tee
7560,FALSE,4,1,TRUE,FALSE,300,3,210,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Matt Kuchar,USA,Green,Tee
756,FALSE,4,2,TRUE,TRUE,48,3,210,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Green,Green
48,FALSE,4,3,TRUE,TRUE,1,3,210,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Hole,Green
24,FALSE,5,4,TRUE,TRUE,1,4,352,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,NA,Green
5112,FALSE,6,3,TRUE,FALSE,192,5,642,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Green,Fairway
36,FALSE,6,5,TRUE,TRUE,1,5,642,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Hole,Green
420,FALSE,2,3,TRUE,TRUE,48,4,429,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Green,Green
48,FALSE,2,4,TRUE,TRUE,1,4,429,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Hole,Green
14472,FALSE,7,1,TRUE,FALSE,4068,4,402,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Fairway,Tee
12312,FALSE,6,4,TRUE,FALSE,11880,5,642,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Fairway,Rough
4068,FALSE,7,2,TRUE,FALSE,48,4,402,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Green,Fairway
11880,FALSE,6,5,TRUE,FALSE,5400,5,642,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Fairway,Fairway
300,FALSE,4,2,TRUE,TRUE,12,3,210,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Dustin Johnson,USA,Green,Green
12,FALSE,4,3,TRUE,TRUE,1,3,210,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Matt Kuchar,USA,Hole,Green
48,FALSE,7,3,TRUE,TRUE,1,4,402,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Hole,Green
576,FALSE,4,2,TRUE,TRUE,24,3,210,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Green,Green
24,FALSE,4,3,TRUE,TRUE,1,3,210,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,NA,Green
15912,FALSE,1,1,TRUE,FALSE,6408,4,442,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Fairway,Tee
11916,FALSE,3,2,TRUE,FALSE,4968,5,633,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Fairway,Fairway Bunker
24,FALSE,4,3,TRUE,TRUE,1,3,210,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,NA,Green
15912,FALSE,1,1,TRUE,FALSE,4140,4,442,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Dustin Johnson,USA,Fairway,Tee
4968,FALSE,3,3,TRUE,FALSE,180,5,633,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Green,Fairway
180,FALSE,3,4,TRUE,TRUE,12,5,633,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Green,Green
4140,FALSE,1,2,TRUE,FALSE,720,4,442,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Matt Kuchar,USA,Green,Fairway
15444,FALSE,2,1,TRUE,FALSE,6012,4,429,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Matt Kuchar,USA,Fairway,Tee
192,FALSE,6,4,TRUE,TRUE,36,5,642,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Green,Green
15444,FALSE,2,1,TRUE,FALSE,5364,4,429,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Fairway Bunker,Tee
12816,FALSE,5,1,TRUE,FALSE,3420,4,352,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Rough,Tee
22788,FALSE,3,1,TRUE,FALSE,11916,5,633,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Fairway Bunker,Tee
12,FALSE,5,4,TRUE,TRUE,1,4,352,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Hole,Green
5364,FALSE,2,2,TRUE,FALSE,648,4,429,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Greenside Bunker,Fairway Bunker
12816,FALSE,5,1,TRUE,FALSE,4032,4,352,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Fairway,Tee
23112,FALSE,6,1,TRUE,FALSE,12168,5,642,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Rough,Tee
23112,FALSE,6,1,TRUE,FALSE,NA,5,642,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Out of Bounds,Tee
4032,FALSE,5,2,TRUE,FALSE,360,4,352,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Intermediate Rough,Fairway
11844,FALSE,3,2,TRUE,FALSE,4428,5,633,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Fairway,Intermediate Rough
648,FALSE,2,3,TRUE,FALSE,144,4,429,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Green,Greenside Bunker
144,FALSE,2,4,TRUE,TRUE,12,4,429,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Green,Green
7560,FALSE,4,1,TRUE,FALSE,576,3,210,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Green,Tee
22788,FALSE,3,1,TRUE,FALSE,11844,5,633,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Intermediate Rough,Tee
15912,FALSE,1,1,TRUE,FALSE,5220,4,442,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Fairway,Tee
5220,FALSE,1,2,TRUE,FALSE,504,4,442,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Green,Fairway
36,FALSE,1,4,TRUE,TRUE,1,4,442,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Hole,Green
504,FALSE,1,3,TRUE,TRUE,36,4,442,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Green,Green
22788,FALSE,3,1,TRUE,FALSE,10728,5,633,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Fairway,Tee
10728,FALSE,3,2,TRUE,FALSE,1296,5,633,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Intermediate Rough,Fairway
15444,FALSE,2,1,TRUE,FALSE,4860,4,429,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Fairway,Tee
4860,FALSE,2,2,TRUE,FALSE,96,4,429,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Green,Fairway
96,FALSE,2,3,TRUE,TRUE,1,4,429,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Hole,Green
6012,FALSE,2,2,TRUE,FALSE,480,4,429,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Dustin Johnson,USA,Green,Fairway
12168,FALSE,6,2,TRUE,FALSE,5112,5,642,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Fairway,Rough
15444,FALSE,2,1,TRUE,FALSE,5616,4,429,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Fairway,Tee
480,FALSE,2,3,TRUE,TRUE,24,4,429,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Matt Kuchar,USA,Green,Green
24,FALSE,2,4,TRUE,TRUE,1,4,429,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Dustin Johnson,USA,Hole,Green
15912,FALSE,1,1,TRUE,FALSE,5076,4,442,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Fairway,Tee
5076,FALSE,1,2,TRUE,FALSE,180,4,442,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Green,Fairway
180,FALSE,1,3,TRUE,TRUE,12,4,442,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Green,Green
12,FALSE,1,4,TRUE,TRUE,1,4,442,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,NA,Green
12816,FALSE,5,1,TRUE,FALSE,3960,4,352,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Fairway,Tee
12816,FALSE,5,1,TRUE,FALSE,4140,4,352,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Dustin Johnson,USA,Fairway,Tee
3960,FALSE,5,2,TRUE,FALSE,360,4,352,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Green,Fairway
360,FALSE,5,3,TRUE,TRUE,12,4,352,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Green,Green
12,FALSE,5,4,TRUE,TRUE,1,4,352,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Hole,Green
19008,FALSE,12,1,TRUE,FALSE,7344,4,528,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Fairway,Tee
14472,FALSE,7,1,TRUE,FALSE,4140,4,402,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Intermediate Rough,Tee
4140,FALSE,7,2,TRUE,FALSE,120,4,402,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Green,Intermediate Rough
4140,FALSE,5,2,TRUE,FALSE,360,4,352,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Matt Kuchar,USA,Green,Fairway
120,FALSE,7,3,TRUE,TRUE,1,4,402,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Hole,Green
360,FALSE,5,3,TRUE,TRUE,1,4,352,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Dustin Johnson,USA,Hole,Green
5400,FALSE,6,6,TRUE,FALSE,1,5,642,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Green,Fairway
17100,FALSE,9,1,TRUE,FALSE,7632,4,475,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Fairway,Tee
6696,FALSE,8,1,TRUE,FALSE,540,3,186,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Green,Tee
540,FALSE,8,2,TRUE,TRUE,24,3,186,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Green,Green
24,FALSE,8,3,TRUE,TRUE,1,3,186,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,NA,Green
6696,FALSE,8,1,TRUE,FALSE,96,3,186,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Green,Tee
96,FALSE,8,2,TRUE,TRUE,24,3,186,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Green,Green
23112,FALSE,6,1,TRUE,FALSE,12780,5,642,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Matt Kuchar,USA,Rough,Tee
12780,FALSE,6,2,TRUE,FALSE,5400,5,642,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Dustin Johnson,USA,Fairway,Rough
5400,FALSE,6,3,TRUE,FALSE,480,5,642,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Matt Kuchar,USA,Green,Fairway
7632,FALSE,9,2,TRUE,FALSE,1008,4,475,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Greenside Bunker,Fairway
23112,FALSE,6,1,TRUE,FALSE,12240,5,642,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Rough,Tee
12240,FALSE,6,2,TRUE,FALSE,5652,5,642,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Fairway,Rough
336,FALSE,6,4,TRUE,TRUE,24,5,642,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Green,Green
1008,FALSE,9,3,TRUE,FALSE,252,4,475,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Green,Greenside Bunker
24,FALSE,6,5,FALSE,TRUE,1,5,642,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,NA,Green
252,FALSE,9,4,TRUE,TRUE,12,4,475,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Green,Green
24,FALSE,8,3,TRUE,TRUE,1,3,186,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Hole,Green
480,FALSE,6,4,TRUE,TRUE,24,5,642,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Dustin Johnson,USA,Green,Green
12,FALSE,9,5,TRUE,TRUE,1,4,475,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,NA,Green
5652,FALSE,6,3,TRUE,FALSE,336,5,642,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Green,Fairway
24,FALSE,6,5,TRUE,TRUE,1,5,642,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Matt Kuchar,USA,Hole,Green
14472,FALSE,7,1,TRUE,FALSE,4248,4,402,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Fairway,Tee
4248,FALSE,7,2,TRUE,FALSE,72,4,402,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Green,Fairway
72,FALSE,7,3,TRUE,TRUE,1,4,402,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Hole,Green
17100,FALSE,9,1,TRUE,FALSE,7560,4,475,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Fairway Bunker,Tee
16272,FALSE,10,1,TRUE,FALSE,6048,4,452,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Rough,Tee
