"round_date","round_no","hole_no","shot_no","putt","completed","left_to_pin_before","left_to_pin_after","penalty","player_name","name","course_id","start_tee","score","par","yards","lie_after","lie_before","club","direction"
2016-11-19,3,14,5,TRUE,TRUE,12,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,5,626,"Hole","Green","putter","center"
2016-11-19,3,14,2,NA,TRUE,10404,4248,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,5,626,"Rough","Fairway","iron","left"
2016-11-19,3,14,3,NA,TRUE,4248,540,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,5,626,"Green","Rough","wedge","center"
2016-11-19,3,14,4,TRUE,TRUE,540,12,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,5,626,"Green","Green","putter","left"
2016-11-19,3,16,2,NA,TRUE,6588,252,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,4,486,"Intermediate Rough","Rough","iron","long"
2016-11-19,3,16,3,NA,TRUE,252,96,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,4,486,"Green","Intermediate Rough","wedge","long"
2016-11-19,3,16,4,TRUE,TRUE,96,12,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,4,486,"Green","Green","putter","right"
2016-11-19,3,16,1,NA,TRUE,17208,6588,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,4,486,"Rough","Tee","driver","right"
2016-11-19,3,16,5,TRUE,TRUE,12,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,4,486,"Hole","Green","putter","center"
2016-11-19,3,17,1,NA,TRUE,6624,540,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,195,"Greenside Bunker","Tee","iron","right"
2016-11-19,3,17,3,TRUE,TRUE,84,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,195,"Hole","Green","putter","center"
2016-11-19,3,17,2,NA,TRUE,540,84,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,195,"Green","Greenside Bunker","wedge","short"
2016-11-19,3,18,3,TRUE,TRUE,540,108,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,620,"Green","Green","putter","long right"
2016-11-19,3,18,1,NA,TRUE,19260,9144,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,620,"Fairway","Tee","driver","center"
2016-11-19,3,18,4,TRUE,TRUE,108,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,620,"Hole","Green","putter","center"
2016-11-19,3,18,2,NA,TRUE,9144,540,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,620,"Green","Fairway","fw wood","center"
2016-11-20,4,2,4,TRUE,TRUE,60,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,583,"Hole","Green","putter","center"
2016-11-20,4,3,1,NA,TRUE,15984,5760,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,452,"Fairway","Tee","driver","center"
2016-11-20,4,3,2,NA,TRUE,5760,144,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,452,"Green","Fairway","iron","center"
2016-11-20,4,3,3,TRUE,TRUE,144,12,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,452,"Green","Green","putter","right"
2016-11-20,4,3,4,TRUE,TRUE,12,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,452,"Hole","Green","putter","center"
2016-11-20,4,8,1,NA,TRUE,16236,6696,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,461,"Fairway","Tee","driver","center"
2016-11-20,4,8,2,NA,TRUE,6696,600,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,461,"Green","Fairway","putter","center"
2016-11-20,4,8,3,TRUE,TRUE,600,12,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,461,"Green","Green","putter","right"
2016-11-20,4,8,4,TRUE,TRUE,12,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,461,"Hole","Green","putter","center"
2016-11-20,4,9,2,NA,TRUE,7812,504,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,499,"Green Fringe","Fairway Bunker","iron","long"
2016-11-20,4,9,1,NA,TRUE,17604,7812,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,499,"Fairway Bunker","Tee","driver","right"
2016-11-20,4,9,3,NA,TRUE,504,60,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,499,"Green","Green Fringe","iron","center"
2016-11-20,4,9,4,TRUE,TRUE,60,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,499,"Hole","Green","putter","center"
2016-11-20,4,7,2,NA,TRUE,10656,4464,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,572,"Fairway","Intermediate Rough","iron","center"
2016-11-20,4,7,1,NA,TRUE,20232,10656,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,572,"Intermediate Rough","Tee","driver","left"
2016-11-20,4,7,3,NA,TRUE,4464,60,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,572,"Green","Fairway","wedge","center"
2016-11-20,4,7,4,TRUE,TRUE,60,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,572,"Hole","Green","putter","center"
2016-11-20,4,11,2,NA,TRUE,5508,252,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,4,401,"Intermediate Rough","Fairway","iron","left"
2016-11-20,4,11,1,NA,TRUE,14112,5508,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,4,401,"Fairway","Tee","hybrid","center"
2016-11-20,4,11,3,NA,TRUE,252,60,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,4,401,"Green","Intermediate Rough","wedge","center"
2016-11-20,4,11,4,TRUE,TRUE,60,12,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,4,401,"Green","Green","putter","right"
2016-11-20,4,11,5,TRUE,TRUE,12,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,4,401,"Hole","Green","putter","center"
2016-11-20,4,5,1,NA,TRUE,14400,5220,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,4,407,"Fairway","Tee","fw wood","center"
2016-11-20,4,5,2,NA,TRUE,5220,264,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,4,407,"Green","Fairway","iron","center"
2016-11-20,4,5,3,TRUE,TRUE,264,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,4,407,"Hole","Green","putter","center"
2016-11-20,4,4,1,NA,TRUE,8208,180,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,2,3,245,"Green","Tee","hybrid","center"
2016-11-20,4,4,2,TRUE,TRUE,180,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,2,3,245,"Hole","Green","putter","center"
2016-11-20,4,6,1,NA,TRUE,6912,720,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,3,186,"Green","Tee","iron","center"
2016-11-20,4,6,2,TRUE,TRUE,720,180,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,3,186,"Green","Green","putter","center"
2016-11-20,4,6,3,TRUE,TRUE,180,12,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,3,186,"Green","Green","putter","right"
2016-11-20,4,6,4,TRUE,TRUE,12,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,3,186,"Hole","Green","putter","center"
2016-11-20,4,10,1,NA,TRUE,15480,4464,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,4,437,"Fairway","Tee","driver","center"
2016-11-20,4,10,2,NA,TRUE,4464,12,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,4,437,"Green","Fairway","iron","center"
2016-11-20,4,10,3,TRUE,TRUE,12,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,4,437,"Hole","Green","putter","center"
2016-11-20,4,12,4,NA,TRUE,1008,120,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,6,4,476,"Green","Green Fringe","iron","center"
2016-11-20,4,12,3,NA,TRUE,1116,1008,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,6,4,476,"Green Fringe","Greenside Bunker","wedge","short"
2016-11-20,4,12,1,NA,TRUE,16020,7812,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,6,4,476,"Rough","Tee","driver","left"
2016-11-20,4,12,2,NA,TRUE,7812,1116,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,6,4,476,"Greenside Bunker","Rough","iron","short"
2016-11-11,2,2,1,NA,TRUE,20268,9900,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,569,"Fairway","Tee","driver","center"
2016-11-11,2,2,5,TRUE,TRUE,12,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,569,"Hole","Green","putter","center"
2016-11-11,2,2,2,NA,TRUE,9900,684,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,569,"Greenside Bunker","Fairway","fw wood","left"
2016-11-11,2,2,4,TRUE,TRUE,108,12,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,569,"Green","Green","putter","left"
2016-11-11,2,2,3,NA,TRUE,684,108,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,569,"Green","Greenside Bunker","wedge","center"
2016-11-10,1,18,1,NA,TRUE,17856,7200,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,502,"Fairway","Tee","driver","center"
2016-11-10,1,18,5,TRUE,TRUE,12,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,502,"Hole","Green","putter","center"
2016-11-10,1,18,2,NA,TRUE,7200,360,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,502,"Rough","Fairway","iron","right"
2016-11-10,1,18,3,NA,TRUE,360,216,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,502,"Green","Rough","wedge","center"
2016-11-10,1,18,4,TRUE,TRUE,216,12,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,502,"Green","Green","putter","short"
2016-11-20,4,17,1,NA,TRUE,7128,540,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,195,"Greenside Bunker","Tee","iron","right"
2016-11-20,4,17,2,NA,TRUE,540,72,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,195,"Green","Greenside Bunker","wedge","center"
2016-11-20,4,17,3,TRUE,TRUE,72,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,195,"Hole","Green","putter","center"
2016-11-11,2,3,1,NA,TRUE,15948,5940,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,449,"Fairway","Tee","driver","center"
2016-11-11,2,3,5,TRUE,TRUE,12,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,449,"Hole","Green","putter","center"
2016-11-11,2,3,4,TRUE,TRUE,180,12,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,449,"Green","Green","putter","right"
2016-11-11,2,3,2,NA,TRUE,5940,432,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,449,"Greenside Bunker","Fairway","iron","left"
2016-11-11,2,3,3,NA,TRUE,432,180,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,449,"Green","Greenside Bunker","wedge","center"
2016-11-20,4,18,2,NA,TRUE,8568,1080,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,620,"Rough","Fairway","fw wood","short right"
2016-11-11,2,1,2,NA,TRUE,5616,540,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,441,"Green","Fairway","iron","center"
2016-11-11,2,1,3,TRUE,TRUE,540,24,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,441,"Green","Green","putter","right"
2016-11-11,2,1,1,NA,TRUE,15660,5616,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,441,"Fairway","Tee","driver","center"
2016-11-11,2,1,4,TRUE,TRUE,24,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,441,"Hole","Green","putter","center"
2016-11-11,2,5,1,NA,TRUE,17496,6624,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,491,"Fairway","Tee","driver","center"
2016-11-11,2,5,4,TRUE,TRUE,24,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,491,"Hole","Green","putter","center"
2016-11-11,2,5,2,NA,TRUE,6624,360,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,491,"Green Fringe","Fairway","iron","right"
2016-11-11,2,5,3,NA,TRUE,360,24,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,491,"Green","Green Fringe","wedge","center"
2016-11-11,2,4,1,NA,TRUE,7164,144,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,3,3,213,"Green","Tee","putter","center"
2016-11-11,2,4,3,TRUE,TRUE,12,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,3,3,213,"Hole","Green","putter","center"
2016-11-11,2,4,2,TRUE,TRUE,144,12,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,3,3,213,"Green","Green","putter","right"
2016-11-11,2,6,1,NA,TRUE,15120,4968,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,424,"Intermediate Rough","Tee","driver","left"
2016-11-11,2,6,4,TRUE,TRUE,12,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,424,"Hole","Green","putter","center"
2016-11-11,2,6,3,NA,TRUE,288,12,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,424,"Green","Intermediate Rough","wedge","center"
2016-11-11,2,6,2,NA,TRUE,4968,288,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,424,"Intermediate Rough","Intermediate Rough","iron","long"
2016-11-11,2,7,1,NA,TRUE,6228,252,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,3,3,225,"Green","Tee","iron","center"
2016-11-11,2,7,2,TRUE,TRUE,252,12,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,3,3,225,"Green","Green","putter","right"
2016-11-11,2,7,3,TRUE,TRUE,12,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,3,3,225,"Hole","Green","putter","center"
2016-11-11,2,8,1,NA,TRUE,17496,NA,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,492,"Water","Tee","driver","left"
2016-11-11,2,8,4,NA,TRUE,576,60,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,492,"Green","Fairway","wedge","center"
2016-11-11,2,8,3,NA,TRUE,7200,576,FALSE,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,492,"Fairway","Rough","iron","short"
2016-11-11,2,8,5,TRUE,TRUE,60,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,492,"Hole","Green","putter","center"
2016-11-11,2,9,4,TRUE,TRUE,240,12,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,596,"Green","Green","putter","right"
2016-11-11,2,9,1,NA,TRUE,23436,9504,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,596,"Intermediate Rough","Tee","driver","right"
2016-11-11,2,9,5,TRUE,TRUE,12,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,596,"Hole","Green","putter","center"
2016-11-11,2,9,2,NA,TRUE,9504,3312,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,596,"Fairway","Intermediate Rough","iron","center"
2016-11-11,2,9,3,NA,TRUE,3312,240,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,596,"Green","Fairway","wedge","center"
2016-11-11,2,11,1,NA,TRUE,15912,6516,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,458,"Fairway","Tee","driver","center"
2016-11-11,2,11,4,TRUE,TRUE,12,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,458,"Hole","Green","putter","center"
2016-11-11,2,11,2,NA,TRUE,6516,108,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,458,"Green","Fairway","iron","center"
2016-11-11,2,11,3,TRUE,TRUE,108,12,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,458,"Green","Green","putter","left"
2016-11-11,2,10,3,NA,TRUE,612,48,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,5,547,"Green","Fairway","wedge","center"
2016-11-11,2,10,1,NA,TRUE,19476,9756,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,5,547,"Fairway","Tee","driver","center"
2016-11-11,2,10,4,TRUE,TRUE,48,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,5,547,"Hole","Green","putter","center"
2016-11-11,2,10,2,NA,TRUE,9756,612,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,5,547,"Fairway","Fairway","fw wood","center"
2016-11-11,2,17,1,NA,TRUE,17064,6624,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,478,"Rough","Tee","driver","left"
2016-11-11,2,17,5,TRUE,TRUE,12,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,478,"Hole","Green","putter","center"
2016-11-11,2,17,2,NA,TRUE,6624,468,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,478,"Rough","Rough","iron","long"
2016-11-11,2,17,3,NA,TRUE,468,180,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,478,"Green","Rough","wedge","short"
2016-11-11,2,17,4,TRUE,TRUE,180,12,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,478,"Green","Green","putter","right"
2016-11-11,2,14,4,FALSE,TRUE,180,12,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,601,"Green","Intermediate Rough","wedge","center"
